ID,Nombre,Edad,Salario,Horas_Trabajadas,Ausencias,Genero
1,Empleado_1,50,106030,62,6,Femenino
2,Empleado_2,57,108537,47,5,Masculino
3,Empleado_3,54,108677,63,6,Masculino
4,Empleado_4,53,35734,54,1,Masculino
5,Empleado_5,23,51214,69,4,Femenino
6,Empleado_6,19,106204,47,0,Femenino
7,Empleado_7,26,110227,49,9,Masculino
8,Empleado_8,42,99009,66,2,Femenino
9,Empleado_9,19,85576,55,8,Femenino
10,Empleado_10,19,57682,45,6,Femenino
11,Empleado_11,38,114158,70,2,Femenino
12,Empleado_12,29,116807,53,9,Femenino
13,Empleado_13,26,105928,68,8,Femenino
14,Empleado_14,29,110929,49,7,Femenino
15,Empleado_15,41,94472,43,0,Masculino
16,Empleado_16,36,54502,54,10,Femenino
17,Empleado_17,29,37393,67,6,Femenino
18,Empleado_18,48,77928,44,5,Femenino
19,Empleado_19,22,93072,44,5,Femenino
20,Empleado_20,29,104785,41,3,Femenino
21,Empleado_21,31,92529,52,4,Masculino
22,Empleado_22,20,75029,30,7,Femenino
23,Empleado_23,56,31203,44,6,Masculino
24,Empleado_24,27,33537,49,9,Masculino
25,Empleado_25,39,111578,37,3,Masculino
26,Empleado_26,48,44418,65,3,Masculino
27,Empleado_27,35,93985,63,1,Masculino
28,Empleado_28,32,60944,60,9,Femenino
29,Empleado_29,34,80519,58,6,Femenino
30,Empleado_30,52,114828,33,10,Masculino
31,Empleado_31,22,81037,66,0,Femenino
32,Empleado_32,58,81115,43,8,Masculino
33,Empleado_33,49,95169,34,9,Femenino
34,Empleado_34,30,83375,41,4,Masculino
35,Empleado_35,57,57025,42,2,Masculino
36,Empleado_36,47,119825,42,3,Masculino
37,Empleado_37,54,35969,68,0,Masculino
38,Empleado_38,32,39357,62,1,Femenino
39,Empleado_39,51,49079,35,9,Masculino
40,Empleado_40,31,102727,70,0,Masculino
41,Empleado_41,48,41780,56,6,Masculino
42,Empleado_42,55,55546,35,2,Masculino
43,Empleado_43,40,30084,35,7,Masculino
44,Empleado_44,34,54512,34,4,Femenino
45,Empleado_45,57,116158,61,8,Femenino
46,Empleado_46,40,65674,38,1,Masculino
47,Empleado_47,55,115741,35,2,Femenino
48,Empleado_48,27,34958,31,10,Masculino
49,Empleado_49,48,102046,30,1,Femenino
50,Empleado_50,42,97601,64,5,Masculino
51,Empleado_51,29,50283,56,5,Femenino
52,Empleado_52,23,84689,49,2,Femenino
53,Empleado_53,29,85154,57,3,Masculino
54,Empleado_54,59,64161,57,7,Masculino
55,Empleado_55,19,44456,49,1,Masculino
56,Empleado_56,37,49353,43,8,Femenino
57,Empleado_57,29,108104,46,6,Femenino
58,Empleado_58,23,53482,32,7,Masculino
59,Empleado_59,42,112233,69,4,Masculino
60,Empleado_60,56,75400,35,4,Femenino
61,Empleado_61,22,36314,50,7,Masculino
62,Empleado_62,50,69998,56,5,Masculino
63,Empleado_63,19,46118,38,2,Masculino
64,Empleado_64,29,72704,32,7,Masculino
65,Empleado_65,52,102843,64,1,Masculino
66,Empleado_66,35,34216,42,9,Masculino
67,Empleado_67,32,75859,54,4,Masculino
68,Empleado_68,56,112557,32,3,Masculino
69,Empleado_69,26,52817,45,4,Femenino
70,Empleado_70,30,38591,57,4,Femenino
71,Empleado_71,24,46995,48,6,Masculino
72,Empleado_72,33,110232,31,4,Femenino
73,Empleado_73,53,57581,34,1,Masculino
74,Empleado_74,45,62027,62,8,Masculino
75,Empleado_75,36,94730,54,2,Masculino
76,Empleado_76,25,59039,51,0,Femenino
77,Empleado_77,44,42886,50,10,Masculino
78,Empleado_78,29,112855,63,8,Masculino
79,Empleado_79,60,95378,62,1,Femenino
80,Empleado_80,24,72308,47,2,Masculino
81,Empleado_81,26,53660,51,3,Femenino
82,Empleado_82,56,85445,43,1,Femenino
83,Empleado_83,24,65801,35,1,Masculino
84,Empleado_84,40,66145,34,5,Femenino
85,Empleado_85,56,58550,30,8,Femenino
86,Empleado_86,33,111044,61,6,Masculino
87,Empleado_87,25,88690,61,8,Masculino
88,Empleado_88,58,110550,32,9,Femenino
89,Empleado_89,29,70696,32,0,Femenino
90,Empleado_90,18,54467,66,2,Femenino
91,Empleado_91,49,69356,61,4,Femenino
92,Empleado_92,30,93230,38,0,Masculino
93,Empleado_93,44,93494,51,7,Masculino
94,Empleado_94,45,57269,53,4,Femenino
95,Empleado_95,24,32080,46,1,Femenino
96,Empleado_96,47,101448,67,0,Femenino
97,Empleado_97,23,67022,52,7,Masculino
98,Empleado_98,55,114682,47,10,Masculino
99,Empleado_99,20,36056,43,1,Masculino
100,Empleado_100,50,92332,60,10,Femenino
101,Empleado_101,46,65190,62,3,Femenino
102,Empleado_102,54,83941,43,8,Femenino
103,Empleado_103,50,83642,67,10,Femenino
104,Empleado_104,43,42007,66,9,Masculino
105,Empleado_105,47,84305,32,8,Masculino
106,Empleado_106,19,67096,64,10,Masculino
107,Empleado_107,60,87595,63,1,Femenino
108,Empleado_108,31,64324,50,0,Masculino
109,Empleado_109,37,30441,36,1,Masculino
110,Empleado_110,50,75295,35,3,Masculino
111,Empleado_111,27,36931,66,7,Masculino
112,Empleado_112,21,86817,52,5,Femenino
113,Empleado_113,37,53514,43,4,Femenino
114,Empleado_114,49,108996,70,1,Femenino
115,Empleado_115,26,63722,39,3,Masculino
116,Empleado_116,37,115788,40,9,Femenino
117,Empleado_117,53,81264,65,6,Femenino
118,Empleado_118,28,38604,32,10,Femenino
119,Empleado_119,40,115173,41,3,Masculino
120,Empleado_120,47,45574,50,7,Masculino
121,Empleado_121,54,55345,31,3,Masculino
122,Empleado_122,54,51499,39,7,Femenino
123,Empleado_123,49,56172,59,7,Masculino
124,Empleado_124,25,104698,56,3,Femenino
125,Empleado_125,19,82481,53,0,Masculino
126,Empleado_126,26,59778,66,9,Femenino
127,Empleado_127,20,48863,38,4,Femenino
128,Empleado_128,47,68954,49,2,Masculino
129,Empleado_129,55,68983,66,4,Femenino
130,Empleado_130,52,76690,67,2,Masculino
131,Empleado_131,34,98344,67,2,Masculino
132,Empleado_132,20,117340,39,3,Femenino
133,Empleado_133,28,44272,62,0,Femenino
134,Empleado_134,57,38008,47,8,Femenino
135,Empleado_135,38,105865,53,1,Femenino
136,Empleado_136,28,61158,69,1,Masculino
137,Empleado_137,38,49184,45,1,Masculino
138,Empleado_138,41,92597,52,8,Masculino
139,Empleado_139,32,64580,53,7,Masculino
140,Empleado_140,24,104282,63,8,Masculino
141,Empleado_141,36,64334,39,6,Masculino
142,Empleado_142,51,77954,39,0,Femenino
143,Empleado_143,30,61278,57,0,Femenino
144,Empleado_144,24,119874,48,3,Femenino
145,Empleado_145,24,107629,57,10,Femenino
146,Empleado_146,52,64231,32,1,Femenino
147,Empleado_147,51,91303,57,3,Femenino
148,Empleado_148,32,97622,31,8,Masculino
149,Empleado_149,41,100327,52,2,Masculino
150,Empleado_150,47,103870,45,5,Femenino
151,Empleado_151,57,100717,52,7,Femenino
152,Empleado_152,27,107884,46,7,Masculino
153,Empleado_153,52,107807,46,6,Femenino
154,Empleado_154,29,37858,55,4,Femenino
155,Empleado_155,31,98989,66,7,Femenino
156,Empleado_156,51,52875,69,1,Masculino
157,Empleado_157,32,103780,47,7,Femenino
158,Empleado_158,19,78192,38,2,Femenino
159,Empleado_159,43,113966,70,10,Femenino
160,Empleado_160,28,44002,47,4,Femenino
161,Empleado_161,58,98553,63,3,Masculino
162,Empleado_162,45,71025,33,8,Masculino
163,Empleado_163,51,32120,57,4,Femenino
164,Empleado_164,56,113244,60,1,Masculino
165,Empleado_165,53,63149,56,8,Femenino
166,Empleado_166,25,103694,51,3,Femenino
167,Empleado_167,35,116617,64,10,Masculino
168,Empleado_168,25,108891,34,2,Masculino
169,Empleado_169,48,117585,32,9,Femenino
170,Empleado_170,36,118415,38,9,Femenino
171,Empleado_171,22,53332,34,7,Masculino
172,Empleado_172,53,51206,39,2,Masculino
173,Empleado_173,27,52801,69,9,Femenino
174,Empleado_174,19,114542,53,3,Masculino
175,Empleado_175,37,50051,56,9,Masculino
176,Empleado_176,49,44232,38,6,Masculino
177,Empleado_177,21,68927,37,0,Femenino
178,Empleado_178,47,77288,68,3,Masculino
179,Empleado_179,53,41100,31,6,Femenino
180,Empleado_180,48,108628,47,0,Masculino
181,Empleado_181,52,36610,38,2,Femenino
182,Empleado_182,28,98105,46,10,Femenino
183,Empleado_183,50,40318,68,9,Masculino
184,Empleado_184,59,54249,46,0,Femenino
185,Empleado_185,23,63200,62,3,Masculino
186,Empleado_186,40,117411,53,4,Masculino
187,Empleado_187,18,84403,53,3,Masculino
188,Empleado_188,28,34454,52,6,Masculino
189,Empleado_189,31,81942,43,8,Femenino
190,Empleado_190,28,32103,70,6,Masculino
191,Empleado_191,45,118339,48,2,Femenino
192,Empleado_192,51,63623,54,7,Femenino
193,Empleado_193,34,96194,40,9,Femenino
194,Empleado_194,43,74537,35,6,Femenino
195,Empleado_195,39,70617,31,2,Masculino
196,Empleado_196,29,93081,55,10,Femenino
197,Empleado_197,35,94792,58,3,Femenino
198,Empleado_198,47,109784,34,2,Masculino
199,Empleado_199,19,112462,31,0,Femenino
200,Empleado_200,40,56475,49,4,Masculino
201,Empleado_201,20,113369,48,4,Femenino
202,Empleado_202,21,66316,46,7,Masculino
203,Empleado_203,42,77464,44,1,Femenino
204,Empleado_204,20,43728,51,2,Masculino
205,Empleado_205,45,87168,70,3,Femenino
206,Empleado_206,49,52125,49,7,Masculino
207,Empleado_207,21,115828,66,7,Femenino
208,Empleado_208,32,96391,61,9,Femenino
209,Empleado_209,21,32425,34,0,Femenino
210,Empleado_210,31,67690,65,0,Femenino
211,Empleado_211,32,118042,57,10,Masculino
212,Empleado_212,54,76487,55,0,Masculino
213,Empleado_213,26,114422,66,4,Femenino
214,Empleado_214,42,46277,49,0,Femenino
215,Empleado_215,45,76761,39,6,Femenino
216,Empleado_216,43,84170,31,0,Femenino
217,Empleado_217,33,35052,56,0,Masculino
218,Empleado_218,33,83605,34,10,Masculino
219,Empleado_219,42,56532,38,2,Masculino
220,Empleado_220,52,80630,68,6,Masculino
221,Empleado_221,42,56523,62,9,Femenino
222,Empleado_222,47,36401,38,10,Masculino
223,Empleado_223,51,78128,70,2,Masculino
224,Empleado_224,36,106442,34,1,Femenino
225,Empleado_225,23,98418,50,2,Masculino
226,Empleado_226,25,112154,58,0,Masculino
227,Empleado_227,52,40702,66,8,Masculino
228,Empleado_228,19,112114,50,3,Masculino
229,Empleado_229,30,77110,47,6,Masculino
230,Empleado_230,57,65483,30,2,Femenino
231,Empleado_231,34,73507,46,1,Masculino
232,Empleado_232,32,89321,38,4,Femenino
233,Empleado_233,49,37127,44,4,Masculino
234,Empleado_234,49,59607,64,9,Femenino
235,Empleado_235,23,119345,34,7,Masculino
236,Empleado_236,54,35978,60,10,Masculino
237,Empleado_237,41,48781,34,7,Femenino
238,Empleado_238,20,55890,70,5,Femenino
239,Empleado_239,28,98118,69,6,Femenino
240,Empleado_240,25,98218,63,0,Masculino
241,Empleado_241,49,66680,59,7,Masculino
242,Empleado_242,36,101342,32,0,Femenino
243,Empleado_243,50,64441,70,3,Femenino
244,Empleado_244,35,91036,36,8,Femenino
245,Empleado_245,50,32838,60,8,Femenino
246,Empleado_246,56,61517,61,9,Femenino
247,Empleado_247,41,95187,43,10,Femenino
248,Empleado_248,58,86148,43,7,Masculino
249,Empleado_249,58,90544,59,0,Femenino
250,Empleado_250,23,67683,33,10,Femenino
251,Empleado_251,48,61764,36,3,Femenino
252,Empleado_252,59,94658,66,6,Femenino
253,Empleado_253,51,115887,39,8,Masculino
254,Empleado_254,24,83419,58,9,Masculino
255,Empleado_255,53,61722,64,6,Femenino
256,Empleado_256,42,77281,44,9,Masculino
257,Empleado_257,21,106076,49,2,Masculino
258,Empleado_258,59,65266,60,1,Femenino
259,Empleado_259,57,114646,38,4,Masculino
260,Empleado_260,24,100075,59,9,Masculino
261,Empleado_261,56,87339,63,9,Femenino
262,Empleado_262,42,51111,37,10,Femenino
263,Empleado_263,27,70353,39,0,Masculino
264,Empleado_264,44,85673,49,8,Femenino
265,Empleado_265,34,44480,69,3,Femenino
266,Empleado_266,40,43783,42,8,Femenino
267,Empleado_267,23,79649,43,6,Femenino
268,Empleado_268,47,77305,43,8,Masculino
269,Empleado_269,31,70623,49,9,Masculino
270,Empleado_270,54,41462,39,4,Masculino
271,Empleado_271,21,118990,70,1,Masculino
272,Empleado_272,27,99994,36,1,Masculino
273,Empleado_273,57,91464,39,2,Femenino
274,Empleado_274,21,57377,48,4,Masculino
275,Empleado_275,18,88892,54,5,Femenino
276,Empleado_276,51,50119,33,8,Femenino
277,Empleado_277,39,92378,66,9,Masculino
278,Empleado_278,34,89817,66,4,Femenino
279,Empleado_279,37,100355,45,3,Masculino
280,Empleado_280,32,107671,40,10,Masculino
281,Empleado_281,19,88393,65,0,Femenino
282,Empleado_282,27,87801,66,8,Femenino
283,Empleado_283,35,77316,47,5,Masculino
284,Empleado_284,23,93742,68,0,Femenino
285,Empleado_285,22,109537,40,8,Masculino
286,Empleado_286,26,46663,47,10,Femenino
287,Empleado_287,33,53270,37,10,Femenino
288,Empleado_288,27,108913,56,4,Masculino
289,Empleado_289,24,92088,55,0,Masculino
290,Empleado_290,50,76789,55,1,Masculino
291,Empleado_291,53,108102,46,10,Femenino
292,Empleado_292,23,93173,36,9,Femenino
293,Empleado_293,43,66025,59,9,Femenino
294,Empleado_294,28,37446,36,3,Femenino
295,Empleado_295,39,34924,40,6,Femenino
296,Empleado_296,27,119446,34,6,Femenino
297,Empleado_297,21,60023,67,9,Masculino
298,Empleado_298,44,107355,40,0,Femenino
299,Empleado_299,56,41266,56,3,Masculino
300,Empleado_300,31,36415,61,6,Femenino
301,Empleado_301,53,100245,69,0,Femenino
302,Empleado_302,27,38029,50,5,Femenino
303,Empleado_303,26,78945,38,9,Femenino
304,Empleado_304,50,106736,62,1,Femenino
305,Empleado_305,28,81910,39,7,Femenino
306,Empleado_306,41,71966,61,10,Femenino
307,Empleado_307,33,85610,56,7,Masculino
308,Empleado_308,22,100678,51,6,Masculino
309,Empleado_309,30,67185,46,6,Masculino
310,Empleado_310,31,76618,52,5,Femenino
311,Empleado_311,30,70139,58,8,Masculino
312,Empleado_312,22,81620,57,8,Femenino
313,Empleado_313,32,44566,31,10,Masculino
314,Empleado_314,43,105770,52,1,Masculino
315,Empleado_315,33,59936,64,8,Masculino
316,Empleado_316,55,36113,47,1,Masculino
317,Empleado_317,37,118096,64,7,Femenino
318,Empleado_318,25,88310,40,9,Femenino
319,Empleado_319,38,71960,53,10,Femenino
320,Empleado_320,59,41734,36,7,Femenino
321,Empleado_321,21,83544,44,5,Femenino
322,Empleado_322,29,76755,69,5,Masculino
323,Empleado_323,28,35365,30,1,Masculino
324,Empleado_324,34,72553,50,8,Masculino
325,Empleado_325,21,80679,47,6,Masculino
326,Empleado_326,38,103366,43,4,Masculino
